Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)
Depth,0,223,1665706607892.341,7647.077
Depth,0,224,1665706607925.697,7680.505
Depth,0,225,1665706607959.053,7713.746
Depth,0,226,1665706607992.409,7747.126
Depth,0,227,1665706608025.766,7780.477
Depth,0,228,1665706608059.122,7813.843
Depth,0,229,1665706608092.479,7847.271
Depth,0,230,1665706608125.835,7880.612
Depth,0,231,1665706608159.192,7914.336
Depth,0,232,1665706608192.549,7947.145
Depth,0,233,1665706608225.906,7980.418
Depth,0,234,1665706608259.264,8013.630
Depth,0,235,1665706608292.621,8046.953
Depth,0,236,1665706608325.979,8081.023
Depth,0,237,1665706608359.337,8114.324
Depth,0,238,1665706608392.695,8147.480
Depth,0,239,1665706608426.053,8180.815
Depth,0,240,1665706608459.411,8214.154
Depth,0,241,1665706608492.770,8247.209
Depth,0,242,1665706608526.128,8280.496
Depth,0,243,1665706608559.487,8314.179
Depth,0,244,1665706608592.846,8347.927
Depth,0,245,1665706608626.205,8381.301
Depth,0,246,1665706608659.564,8414.168
Depth,0,247,1665706608692.923,8447.549
Depth,0,248,1665706608726.283,8481.009
Depth,0,249,1665706608759.642,8514.369
Depth,0,250,1665706608793.002,8547.731

Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)

Color,0,1,1665706600726.578,494.961
Color,0,2,1665706600768.200,512.637
Color,0,3,1665706600810.099,540.334
Color,0,4,1665706600849.592,573.327
Color,0,5,1665706600888.951,607.026
Color,0,6,1665706600928.177,651.867
Color,0,7,1665706600967.272,686.393
Color,0,8,1665706601006.233,703.853
Color,0,9,1665706601045.062,737.062
Color,0,10,1665706601083.140,772.215
Color,0,11,1665706601121.019,804.700
Color,0,12,1665706601158.697,837.732
Color,0,13,1665706601195.488,870.926
Color,0,14,1665706601232.007,904.361
Color,0,15,1665706601268.253,937.792
Color,0,16,1665706601304.058,973.052
Color,0,17,1665706601339.574,1018.689
Color,0,18,1665706601374.800,1048.683
Color,0,19,1665706601409.810,1071.686
Color,0,20,1665706601444.534,1117.956
Color,0,21,1665706601478.972,1151.818
Color,0,22,1665706601513.319,1174.914
Color,0,23,1665706601547.392,1208.247
Color,0,24,1665706601581.191,1241.870
Color,0,25,1665706601614.985,1275.177
Color,0,26,1665706601648.522,1325.738
Color,0,27,1665706601681.801,1346.175
Color,0,28,1665706601715.141,1389.633
Color,0,29,1665706601748.241,1409.493
Color,0,30,1665706601781.101,1440.308
Color,0,31,1665706601814.068,1474.682
Color,0,32,1665706601846.814,1507.778
Color,0,33,1665706601879.338,1542.549
Color,0,34,1665706601912.004,1578.791
Color,0,35,1665706601944.467,1611.271
Color,0,36,1665706601976.725,1644.102
Color,0,37,1665706602009.152,1680.856
Color,0,38,1665706602041.392,1713.807
Color,0,39,1665706602073.445,1747.078
Color,0,40,1665706602105.311,1780.709
Color,0,41,1665706602136.990,1813.791
Color,0,42,1665706602168.483,1847.255
Color,0,43,1665706602199.789,1891.319
Color,0,44,1665706602230.908,1913.295
Color,0,45,1665706602261.840,1941.385
Color,0,46,1665706602292.585,1976.382
Color,0,47,1665706602323.144,2009.118
Color,0,48,1665706602353.516,2040.224
Color,0,49,1665706602383.701,2072.512
Color,0,50,1665706602413.699,2105.893
Color,0,51,1665706602443.510,2142.243
Color,0,52,1665706602473.135,2181.906
Color,0,53,1665706602502.573,2215.095
Color,0,54,1665706602531.824,2248.610
Color,0,55,1665706602560.888,2281.908
Color,0,56,1665706602589.766,2315.274
Color,0,57,1665706602618.456,2348.631
Color,0,58,1665706602646.960,2381.900
Color,0,59,1665706602675.277,2415.413
Color,0,60,1665706602703.407,2448.749
Color,0,61,1665706602731.351,2481.978
Color,0,62,1665706602759.107,2515.433
Color,0,63,1665706602786.677,2548.905
Color,0,64,1665706602814.060,2582.038
Color,0,65,1665706602841.256,2615.491
Color,0,66,1665706602868.424,2648.906
Color,0,67,1665706602901.781,2682.124
Color,0,68,1665706602935.133,2715.401
Color,0,69,1665706602968.479,2748.954
Color,0,70,1665706603001.819,2782.164
Color,0,71,1665706603035.153,2815.459
Color,0,72,1665706603068.482,2849.054
Color,0,73,1665706603101.804,2882.236
Color,0,74,1665706603135.121,2915.655
Color,0,75,1665706603168.433,2955.486
Color,0,76,1665706603201.738,2979.622
Color,0,77,1665706603235.038,3011.237
Color,0,78,1665706603268.332,3060.045
Color,0,79,1665706603301.620,3079.631
Color,0,80,1665706603334.903,3109.337
Color,0,81,1665706603368.180,3144.880
Color,0,82,1665706603401.451,3184.827
Color,0,83,1665706603434.716,3205.596
Color,0,84,1665706603467.976,3257.779
Color,0,85,1665706603501.229,3287.422
Color,0,86,1665706603534.478,3311.193
Color,0,87,1665706603567.720,3344.405
Color,0,88,1665706603600.956,3379.323
Color,0,89,1665706603634.187,3415.015
Color,0,90,1665706603667.412,3448.423
Color,0,91,1665706603700.632,3481.657
Color,0,92,1665706603733.845,3515.405
Color,0,93,1665706603767.053,3548.536
Color,0,94,1665706603800.255,3581.814
Color,0,95,1665706603833.451,3615.265
Color,0,96,1665706603866.648,3648.602
Color,0,97,1665706603899.437,3681.795
Color,0,98,1665706603932.203,3715.533
Color,0,99,1665706603964.948,3747.892
Color,0,100,1665706603997.670,3777.040
Color,0,101,1665706604030.371,3813.472
Color,0,102,1665706604063.049,3849.264
Color,0,103,1665706604095.706,3885.483
Color,0,104,1665706604128.341,3919.121
Color,0,105,1665706604160.953,3952.111
Color,0,106,1665706604193.543,3981.109
Color,0,107,1665706604226.112,4011.155
Color,0,108,1665706604258.658,4040.878
Color,0,109,1665706604291.183,4074.070
Color,0,110,1665706604323.685,4110.170
Color,0,111,1665706604356.166,4150.953
Color,0,112,1665706604388.624,4184.548
Color,0,113,1665706604421.061,4217.824
Color,0,114,1665706604453.475,4251.104
Color,0,115,1665706604485.867,4280.075
Color,0,116,1665706604518.238,4313.459
Color,0,117,1665706604550.586,4346.730
Color,0,118,1665706604582.912,4380.032
Color,0,119,1665706604615.217,4416.709
Color,0,120,1665706604647.499,4449.987
Color,0,121,1665706604679.759,4483.479
Color,0,122,1665706604711.997,4516.945
Color,0,123,1665706604744.213,4550.341
Color,0,124,1665706604776.408,4583.527
Color,0,125,1665706604808.580,4617.010
Color,0,126,1665706604840.753,4650.568
Color,0,127,1665706604874.110,4683.664
Color,0,128,1665706604907.471,4716.886
Color,0,129,1665706604940.836,4750.467
Color,0,130,1665706604974.204,4783.889
Color,0,131,1665706605007.576,4817.223
Color,0,132,1665706605040.952,4850.453
Color,0,133,1665706605074.332,4884.087
Color,0,134,1665706605107.715,4917.351
