Configuration:
Stream Type,Stream Name,Format,FPS,Width,Height
Infrared 1,Infrared,Y8,30,640,480
Infrared 2,Infrared,Y8,30,640,480
Depth,Depth,Z16,30,640,480
Color,Color,RGB8,30,640,480


Stream Type,Index,F#,HW Timestamp (ms),Host Timestamp(ms)
Infrared,2,68,1664229450878.315,2861.172
Infrared,2,69,1664229450911.580,2894.622
Infrared,2,70,1664229450944.830,2927.836
Infrared,2,71,1664229450978.064,2961.262
Infrared,2,72,1664229451011.281,2994.662
Infrared,2,73,1664229451044.483,3028.044
Infrared,2,74,1664229451077.668,3061.358
Infrared,2,75,1664229451110.838,3094.797
Infrared,2,76,1664229451143.991,3127.714
Infrared,2,77,1664229451177.129,3161.225
Infrared,2,78,1664229451210.250,3194.393
Infrared,2,79,1664229451243.355,3227.677
Infrared,2,80,1664229451276.445,3261.224
Infrared,2,81,1664229451309.518,3294.739
Infrared,2,82,1664229451342.575,3328.252
Infrared,2,83,1664229451375.617,3361.476
Infrared,2,84,1664229451408.642,3394.794
Infrared,2,85,1664229451441.651,3431.330
Infrared,2,86,1664229451474.645,3461.501
Infrared,2,87,1664229451507.622,3494.803
Infrared,2,88,1664229451540.583,3528.018
Infrared,2,89,1664229451573.528,3561.575
